TrackID,Predictor
199974_295907,0
199974_10628,0
199974_286329,0
199974_73886,0
199974_70203,0
199974_282197,0
199976_125958,1
199976_138333,1
199976_63855,1
199976_88123,1
199976_188301,1
199976_116957,0
199977_293108,1
199977_211659,0
199977_61827,1
199977_12127,0
199977_153742,1
199977_281844,0
199981_244686,1
199981_190154,1
199981_206026,0
199981_260780,0
199981_142675,0
199981_154382,1
199982_220973,1
199982_79550,0
199982_183431,0
199982_114059,0
199982_120535,0
199982_189306,1
199983_240746,1
199983_163720,1
199983_6330,1
199983_47483,1
199983_4102,1
199983_245818,1
199984_199756,1
199984_66754,0
199984_268182,1
199984_197751,0
199984_135194,1
199984_254703,0
199989_174481,1
199989_133167,0
199989_184197,1
199989_145221,1
199989_70738,1
199989_48244,1
199991_108560,1
199991_152985,1
199991_200612,1
199991_18684,1
199991_32651,1
199991_247852,1
199996_75564,0
199996_154321,0
199996_61539,0
199996_44110,0
199996_237168,0
199996_58813,0
199997_210679,1
199997_5791,1
199997_233951,1
199997_12756,1
199997_37154,0
199997_215013,0
200000_28885,0
200000_245668,0
200000_66741,0
200000_61924,0
200000_156098,0
200000_275159,0
200008_104154,1
200008_46876,0
200008_256560,1
200008_67905,1
200008_1139,1
200008_141686,0
200011_12596,1
200011_9135,1
200011_120099,1
200011_34204,1
200011_206993,1
200011_185400,1
200015_238871,0
200015_231629,0
200015_232699,0
200015_42375,0
200015_288583,0
200015_291248,0
200017_214205,0
200017_69801,1
200017_172315,1
200017_237086,1
200017_248372,0
200017_250952,0
200020_160977,1
200020_102918,0
200020_35714,0
200020_177509,1
200020_21102,1
200020_254344,1
200022_78599,0
200022_69145,1
200022_14434,1
200022_251839,1
200022_52131,1
200022_201326,1
200024_65495,0
200024_256187,1
200024_38735,1
200024_142844,0
200024_206527,1
200024_202088,0
200031_30877,1
200031_8244,1
200031_130183,0
200031_198762,1
200031_34503,1
200031_227283,1
200032_218377,0
200032_110262,0
200032_18681,0
200032_138493,0
200032_64167,0
200032_22820,0
200033_238637,1
200033_280510,1
200033_81561,0
200033_154323,0
200033_246110,0
200033_115430,0
200034_59870,0
200034_258228,0
200034_57481,0
200034_289146,0
200034_193705,0
200034_216403,0
200039_33786,1
200039_93820,1
200039_158950,1
200039_129597,1
200039_64855,1
200039_9222,0
200042_52853,1
200042_155158,1
200042_110558,0
200042_174226,1
200042_160629,1
200042_97838,1
200044_276970,0
200044_144465,0
200044_237953,0
200044_273540,0
200044_65494,0
200044_237561,1
200045_278533,1
200045_36514,1
200045_192445,0
200045_5114,0
200045_206449,1
200045_172949,0
200046_153923,1
200046_82066,1
200046_106788,0
200046_234917,1
200046_232322,1
200046_7858,1
200049_140281,0
200049_68473,0
200049_110918,0
200049_262523,0
200049_146264,0
200049_63340,0
200053_275356,1
200053_224601,0
200053_266176,1
200053_266936,0
200053_236876,1
200053_248056,0
200054_258428,1
200054_155798,1
200054_196987,1
200054_241475,1
200054_198197,1
200054_153172,1
200055_52198,0
200055_233815,0
200055_175557,0
200055_59101,0
200055_56695,0
200055_134398,0
200061_96084,0
200061_79655,1
200061_87277,1
200061_137432,1
200061_126448,1
200061_165136,1
200062_409,0
200062_274169,0
200062_34583,0
200062_267994,0
200062_282197,0
200062_120246,0
200063_197591,0
200063_65494,1
200063_279986,0
200063_1779,1
200063_39137,1
200063_237564,1
200065_179571,0
200065_196286,0
200065_26875,0
200065_119451,0
200065_227397,0
200065_243829,0
200066_252312,1
200066_214595,1
200066_247413,1
200066_163568,0
200066_133542,1
200066_281136,1
200067_10177,0
200067_50554,0
200067_238616,0
200067_174122,0
200067_243032,0
200067_131043,0
200069_8669,1
200069_131703,0
200069_125825,1
200069_248957,1
200069_10794,0
200069_218715,1
200070_104207,0
200070_39252,1
200070_271459,0
200070_191512,0
200070_124239,0
200070_219295,0
200071_110406,0
200071_286617,1
200071_151553,0
200071_291135,1
200071_226251,0
200071_233170,0
200072_128068,0
200072_101141,1
200072_272622,1
200072_29894,1
200072_36641,1
200072_63433,1
200073_30193,0
200073_52063,0
200073_28167,0
200073_277867,0
200073_175274,0
200073_260816,0
200074_269977,1
200074_276467,1
200074_210679,1
200074_38502,1
200074_289311,0
200074_142078,1
200077_112017,1
200077_179993,1
200077_51632,0
200077_98279,0
200077_142715,0
200077_127917,0
200081_73524,1
200081_164949,1
200081_193711,1
200081_207829,0
200081_10062,1
200081_30624,0
200083_38933,1
200083_76639,0
200083_126581,1
200083_106736,0
200083_147920,0
200083_66989,1
200084_56551,0
200084_292483,0
200084_232515,1
200084_93839,0
200084_216153,1
200084_14869,1
200085_49158,1
200085_172871,0
200085_134106,0
200085_284406,0
200085_138809,1
200085_32503,1
200096_16581,1
200096_45935,0
200096_188471,0
200096_68144,0
200096_130934,0
200096_218442,1
200098_285456,0
200098_289558,0
200098_243829,1
200098_278152,1
200098_21220,0
200098_278582,0
200099_173182,0
200099_239473,0
200099_276334,1
200099_41892,0
200099_85375,0
200099_159970,0
200100_143734,0
200100_29345,0
200100_274810,0
200100_37816,0
200100_10628,0
200100_173495,0
200101_156642,0
200101_103861,1
200101_203386,1
200101_251902,1
200101_228077,1
200101_239984,1
200104_1066,1
200104_38453,1
200104_191718,0
200104_112280,0
200104_99178,0
200104_282514,0
200105_157843,0
200105_20968,0
200105_179956,0
200105_150250,0
200105_85659,0
200105_152229,0
200106_67182,1
200106_181408,0
200106_67509,1
200106_72517,1
200106_84948,1
200106_152491,1
200112_24444,1
200112_107026,1
200112_100877,1
200112_182869,0
200112_71923,1
200112_255284,1
200116_149496,1
200116_126940,0
200116_80138,0
200116_288583,0
200116_106102,0
200116_272638,1
200117_111183,0
200117_118407,1
200117_221371,0
200117_215325,0
200117_29256,1
200117_159641,1
200118_63358,0
200118_284107,0
200118_77125,0
200118_240379,0
200118_243335,0
200118_153923,0
200124_78157,0
200124_162126,0
200124_284066,0
200124_158428,0
200124_280405,0
200124_112595,0
200126_157702,1
200126_263539,0
200126_157784,0
200126_174788,1
200126_141773,1
200126_57701,1
200127_159548,1
200127_70524,0
200127_180109,1
200127_115656,1
200127_10453,0
200127_150618,1
200128_62961,1
200128_285837,1
200128_129803,1
200128_141637,1
200128_208113,1
200128_105251,1
200138_189306,1
200138_190567,1
200138_66946,0
200138_293300,1
200138_201191,1
200138_151866,1
200140_214979,1
200140_283715,1
200140_210549,1
200140_159580,0
200140_2578,1
200140_158633,0
200141_229894,1
200141_250273,1
200141_178659,1
200141_120563,1
200141_201191,0
200141_47420,0
200143_8486,0
200143_187136,1
200143_216914,1
200143_131171,1
200143_51859,0
200143_273031,1
200145_168855,1
200145_89740,1
200145_255196,1
200145_59168,1
200145_164892,0
200145_232758,0
200148_16367,1
200148_144472,1
200148_138863,1
200148_40651,1
200148_159549,1
200148_72771,1
200151_33126,1
200151_23938,1
200151_213415,0
200151_78176,1
200151_170506,1
200151_177409,1
200152_255924,1
200152_187117,0
200152_193934,1
200152_20736,0
200152_210372,0
200152_225472,1
200154_14467,0
200154_46390,1
200154_56423,1
200154_255924,1
200154_152033,1
200154_183027,1
200155_160843,1
200155_257449,1
200155_14995,0
200155_4359,1
200155_134877,1
200155_113416,0
200156_249323,0
200156_270454,0
200156_133594,1
200156_201706,0
200156_94893,1
200156_70945,1
200158_275149,0
200158_286433,1
200158_146448,0
200158_177585,0
200158_128066,1
200158_214871,1
200159_238869,1
200159_211335,0
200159_279176,1
200159_26075,0
200159_206537,0
200159_274931,1
200160_173982,1
200160_191762,1
200160_111151,0
200160_293195,0
200160_231680,1
200160_103933,1
200162_227617,1
200162_211864,0
200162_171714,0
200162_204679,1
200162_131352,0
200162_57671,0
200163_5852,0
200163_31440,0
200163_216055,0
200163_90370,0
200163_113841,0
200163_82698,0
200165_244256,1
200165_226077,1
200165_235981,1
200165_54084,1
200165_46922,1
200165_118861,0
200166_193878,0
200166_152465,0
200166_282686,0
200166_58283,0
200166_249972,0
200166_49989,0
200168_33106,1
200168_170773,0
200168_40055,0
200168_121501,0
200168_226576,0
200168_75322,1
200173_153297,0
200173_293022,0
200173_255190,0
200173_232699,0
200173_288329,0
200173_118642,0
200174_94893,1
200174_137908,1
200174_87687,0
200174_281141,1
200174_106183,1
200174_96153,1
200176_74079,0
200176_141029,0
200176_216094,1
200176_213072,1
200176_213238,1
200176_135745,0
200179_13,1
200179_203607,1
200179_145146,0
200179_131564,1
200179_59296,1
200179_75833,0
200182_198544,0
200182_121002,1
200182_295485,1
200182_145607,1
200182_219744,1
200182_274874,0
200186_141772,0
200186_291044,0
200186_56317,0
200186_205730,0
200186_69847,0
200186_185363,0
200191_225926,0
200191_216514,1
200191_129085,0
200191_156250,0
200191_165227,0
200191_41301,0
200193_129391,0
200193_230030,0
200193_154493,0
200193_284157,0
200193_292109,0
200193_238779,0
200195_5791,0
200195_95871,0
200195_41833,0
200195_155580,0
200195_255065,0
200195_177409,0
200198_73557,1
200198_8244,1
200198_291338,0
200198_207050,1
200198_181457,1
200198_50020,1
200203_3800,0
200203_271107,0
200203_175306,0
200203_151596,0
200203_208948,0
200203_1618,0
200205_211280,1
200205_262177,0
200205_259375,1
200205_143817,1
200205_14498,1
200205_88636,0
200207_122157,0
200207_24705,0
200207_279879,0
200207_9277,0
200207_135181,0
200207_162591,0
200209_238389,1
200209_175144,1
200209_57187,0
200209_239551,1
200209_255270,0
200209_109024,1
200212_193003,1
200212_138112,1
200212_195566,0
200212_228469,1
200212_166,0
200212_80339,1
200213_79224,1
200213_183527,0
200213_10877,1
200213_194256,1
200213_18749,0
200213_223164,1
200216_49426,0
200216_180231,1
200216_190549,1
200216_108120,1
200216_52700,0
200216_157492,1
200217_222878,0
200217_46242,1
200217_210305,0
200217_245382,0
200217_176480,1
200217_221725,1
200223_45171,0
200223_48871,0
200223_21780,0
200223_158155,0
200223_189751,0
200223_87330,0
200224_204859,1
200224_268606,1
200224_228063,0
200224_73335,1
200224_110276,0
200224_216698,0
200229_98915,0
200229_122251,0
200229_205329,0
200229_48961,0
200229_92035,1
200229_151596,1
200232_169756,0
200232_93820,0
200232_97179,0
200232_31731,1
200232_88231,1
200232_225018,0
200234_52617,1
200234_243325,0
200234_193350,1
200234_35632,1
200234_219182,1
200234_71455,0
200236_92180,1
200236_92169,1
200236_14141,1
200236_255647,1
200236_44744,0
200236_27608,0
200237_6675,0
200237_176102,1
200237_16164,1
200237_18289,0
200237_170773,1
200237_242779,1
200240_125944,0
200240_167292,1
200240_165847,0
200240_253028,1
200240_204533,0
200240_189540,0
200241_174498,0
200241_66685,0
200241_125642,0
200241_134945,0
200241_188867,0
200241_178429,0
200242_184307,0
200242_202042,0
200242_264028,0
200242_59317,0
200242_269792,1
200242_142905,1
200243_13495,0
200243_263280,0
200243_159305,0
200243_239829,1
200243_285007,0
200243_140645,1
200250_73557,1
200250_54690,0
200250_278136,0
200250_52063,0
200250_258828,1
200250_291128,0
200251_23559,0
200251_149318,0
200251_19780,0
200251_186248,0
200251_279481,0
200251_90712,0
200256_253277,1
200256_136899,1
200256_58360,1
200256_90712,1
200256_189544,0
200256_278106,1
200257_167873,1
200257_161009,1
200257_201147,1
200257_261450,1
200257_165215,1
200257_23103,1
200258_26097,1
200258_24997,0
200258_191995,0
200258_198880,0
200258_211753,1
200258_76685,1
200263_207212,1
200263_208284,0
200263_132785,0
200263_127818,1
200263_143401,0
200263_88446,0
200266_7188,1
200266_244768,1
200266_184758,1
200266_107703,0
200266_266739,1
200266_73557,1
200269_67156,1
200269_238868,0
200269_19214,0
200269_265654,0
200269_2538,1
200269_289111,1
200270_145667,1
200270_231225,1
200270_147382,1
200270_127941,1
200270_44963,0
200270_139707,1
200273_200633,0
200273_252928,0
200273_55412,0
200273_265292,0
200273_32392,0
200273_270469,0
200278_271418,0
200278_224135,0
200278_180999,0
200278_108762,1
200278_114082,0
200278_261879,0
200279_48282,0
200279_178208,0
200279_58919,1
200279_207704,0
200279_109024,1
200279_72878,0
200280_17790,0
200280_290787,1
200280_2018,0
200280_208389,1
200280_235263,0
200280_247065,1
200283_232057,1
200283_117244,1
200283_228077,1
200283_49270,1
200283_53274,1
200283_288909,1
200288_55618,1
200288_163853,1
200288_139745,1
200288_278854,1
200288_1385,0
200288_55862,0
200293_120535,0
200293_268991,0
200293_94355,0
200293_100055,0
200293_277641,0
200293_281849,0
200296_137780,0
200296_198893,0
200296_238658,0
200296_222836,0
200296_254251,0
200296_141970,0
200298_217090,0
200298_108120,0
200298_204836,1
200298_216962,1
200298_155798,0
200298_243646,0
200302_102547,0
200302_285463,0
200302_106094,0
200302_167345,0
200302_22809,0
200302_134510,0
200303_6727,0
200303_201781,1
200303_113595,0
200303_138706,0
200303_278149,0
200303_10615,0
200306_150375,0
200306_229771,0
200306_292639,1
200306_170046,1
200306_234547,1
200306_120693,1
200308_131453,1
200308_229683,0
200308_236239,1
200308_249471,1
200308_55997,1
200308_171196,1
200309_115539,0
200309_296044,0
200309_243673,1
200309_4474,1
200309_87181,1
200309_21636,1
200310_143030,1
200310_125232,0
200310_17790,1
200310_161251,1
200310_42334,1
200310_247494,0
200311_61697,0
200311_218019,0
200311_157372,1
200311_207389,1
200311_83383,1
200311_255060,1
200312_170676,0
200312_591,0
200312_257795,1
200312_101487,1
200312_227971,1
200312_1326,1
200313_35551,1
200313_171859,1
200313_170956,0
200313_270823,1
200313_103950,1
200313_134225,0
200314_1255,1
200314_198197,1
200314_214898,1
200314_40741,1
200314_276467,1
200314_12922,0
200319_131585,0
200319_283814,0
200319_246593,1
200319_225414,1
200319_68625,0
200319_56525,1
200322_7395,1
200322_8280,0
200322_26874,0
200322_282700,0
200322_48868,1
200322_205771,0
200327_82095,1
200327_5087,1
200327_286001,0
200327_3498,1
200327_101360,1
200327_42126,0
200333_114620,1
200333_21593,0
200333_130455,0
200333_6448,0
200333_209473,1
200333_248001,0
200335_43564,1
200335_5844,1
200335_71574,1
200335_281826,1
200335_148843,1
200335_204462,1
200336_88123,1
200336_198117,1
200336_177982,1
200336_175560,0
200336_217721,1
200336_170547,1
200338_82535,1
200338_222587,0
200338_265599,1
200338_256424,1
200338_243829,1
200338_89086,1
200342_199818,1
200342_54636,1
200342_73940,0
200342_231141,0
200342_121387,1
200342_46482,1
200343_222732,0
200343_156907,0
200343_9514,1
200343_151275,1
200343_103269,1
200343_171231,1
200344_57052,0
200344_80165,1
200344_97007,1
200344_197421,1
200344_110784,1
200344_277751,1
200348_225692,0
200348_83417,1
200348_38354,0
200348_144605,0
200348_23154,0
200348_126889,1
200349_235427,0
200349_220478,1
200349_98915,1
200349_37574,0
200349_30877,1
200349_256675,1
200356_254494,0
200356_9514,1
200356_177028,0
200356_281406,0
200356_172570,0
200356_34905,1
200359_186565,1
200359_37605,0
200359_204457,0
200359_107487,0
200359_117315,0
200359_11111,1
200360_126432,0
200360_50631,1
200360_76645,0
200360_91014,1
200360_225510,1
200360_44636,0
200361_89984,0
200361_118920,0
200361_26532,0
200361_189055,0
200361_237954,0
200361_81309,0
200364_24779,0
200364_219422,0
200364_261910,0
200364_178502,0
200364_8676,0
200364_72517,0
200367_143297,0
200367_173538,0
200367_155071,0
200367_185295,0
200367_47557,0
200367_269065,0
200368_139014,0
200368_21421,1
200368_217242,1
200368_226070,0
200368_219223,0
200368_245841,0
200369_52384,0
200369_142289,1
200369_270426,0
200369_193031,1
200369_204003,0
200369_112760,1
200370_281141,1
200370_260179,1
200370_106273,1
200370_244697,1
200370_175018,1
200370_92749,1
200371_72008,1
200371_74545,1
200371_152826,1
200371_215355,1
200371_278687,1
200371_245668,1
200374_219934,0
200374_259481,0
200374_146003,0
200374_122802,0
200374_61066,0
200374_131030,0
200383_45322,0
200383_145554,1
200383_282197,1
200383_257260,0
200383_274169,1
200383_45143,0
200384_185440,0
200384_129642,1
200384_132018,1
200384_157104,0
200384_89110,0
200384_103870,1
200385_143617,0
200385_265026,0
200385_26902,0
200385_171850,0
200385_200378,0
200385_156868,0
200387_7556,0
200387_55,0
200387_267024,0
200387_41231,0
200387_62314,0
200387_117377,0
200389_44847,0
200389_272332,1
200389_10206,1
200389_218525,1
200389_68137,0
200389_119098,0
200391_70945,1
200391_149391,0
200391_260381,0
200391_270260,0
200391_120809,0
200391_56707,0
200393_134510,1
200393_66923,0
200393_77781,0
200393_246946,1
200393_56004,1
200393_133421,1
200394_259768,0
200394_286062,0
200394_151336,1
200394_47084,1
200394_5844,1
200394_114633,1
200398_169945,1
200398_235457,1
200398_45786,0
200398_175194,1
200398_227719,1
200398_207699,1
200400_263168,0
200400_64675,0
200400_99158,0
200400_133094,0
200400_281571,0
200400_231680,0
200401_240498,1
200401_91555,0
200401_220726,0
200401_236433,1
200401_51468,1
200401_244960,1
200406_135699,0
200406_182693,0
200406_91014,1
200406_191480,0
200406_135962,1
200406_36732,1
200407_147604,0
200407_175560,0
200407_103861,0
200407_200166,0
200407_214172,0
200407_7740,0
200413_292176,0
200413_133594,0
200413_291958,0
200413_59772,0
200413_94007,0
200413_139505,0
200414_187953,0
200414_210791,0
200414_267796,0
200414_10679,0
200414_262192,0
200414_284820,0
200416_252040,0
200416_266225,0
200416_109787,0
200416_77677,0
200416_149254,0
200416_32664,0
200419_124070,0
200419_128565,0
200419_115358,1
200419_143033,0
200419_34290,0
200419_101875,1
200420_92711,0
200420_141772,0
200420_151596,0
200420_685,0
200420_291238,0
200420_117529,0
200427_179899,0
200427_66439,0
200427_170024,0
200427_82634,0
200427_70122,0
200427_133601,0
200429_288338,1
200429_253857,1
200429_1743,0
200429_59405,0
200429_93084,1
200429_142040,0
200430_45093,1
200430_101943,1
200430_286847,0
200430_3708,1
200430_150766,1
200430_170528,0
200431_125567,0
200431_65150,1
200431_221981,1
200431_38341,1
200431_8652,0
200431_134550,1
200434_187117,1
200434_47732,0
200434_150786,0
200434_200910,0
200434_250273,1
200434_291238,1
200437_130023,0
200437_120539,0
200437_48284,0
200437_29894,0
200437_265963,0
200437_66359,0
200440_170421,1
200440_270448,0
200440_144825,0
200440_272269,0
200440_5735,0
200440_217693,0
200442_244283,0
200442_171490,0
200442_106204,0
200442_70446,0
200442_235014,0
200442_253306,0
200446_191403,1
200446_53131,1
200446_134535,0
200446_221647,1
200446_281826,1
200446_255945,1
200447_273153,1
200447_41843,0
200447_260780,0
200447_138127,0
200447_145783,1
200447_294186,0
200449_48452,0
200449_116597,0
200449_91526,0
200449_12359,0
200449_136336,0
200449_271794,0
200450_51675,1
200450_26636,1
200450_168889,0
200450_2815,1
200450_229894,1
200450_54703,1
200451_185341,0
200451_151926,0
200451_10140,0
200451_82803,0
200451_152474,0
200451_54718,0
200452_274802,1
200452_103437,1
200452_137237,0
200452_142770,1
200452_268716,1
200452_211560,0
200455_141709,1
200455_2259,1
200455_43564,1
200455_230656,1
200455_169102,1
200455_54238,1
200457_73557,1
200457_114620,1
200457_123878,1
200457_261346,1
200457_106185,0
200457_246114,0
200459_47084,0
200459_225429,0
200459_20073,1
200459_121370,0
200459_73524,1
200459_94033,0
200461_95709,0
200461_222309,1
200461_115314,0
200461_199132,1
200461_36048,1
200461_228775,1
200463_33163,0
200463_129403,0
200463_156523,0
200463_142462,0
200463_287377,1
200463_44290,1
200465_232351,1
200465_239826,1
200465_157731,1
200465_59870,1
200465_138333,0
200465_227848,0
200468_167657,1
200468_178008,0
200468_242640,1
200468_190611,1
200468_129467,0
200468_281210,1
200475_223943,0
200475_174505,0
200475_268019,0
200475_168045,0
200475_36815,0
200475_246000,0
200476_234355,1
200476_190213,1
200476_282297,1
200476_256995,0
200476_27068,1
200476_175201,1
200481_149390,1
200481_139199,0
200481_44675,1
200481_218715,1
200481_46756,1
200481_67896,0
200482_28381,0
200482_177636,0
200482_155798,0
200482_170625,0
200482_10062,0
200482_207001,0
200484_151441,0
200484_188137,0
200484_213436,1
200484_281016,1
200484_170445,0
200484_54093,1
200486_62861,0
200486_295129,0
200486_239204,1
200486_113588,1
200486_34658,1
200486_97461,1
200490_24485,0
200490_182289,0
200490_545,0
200490_132003,1
200490_40041,0
200490_150250,1
200494_193791,0
200494_8912,1
200494_88313,0
200494_48000,1
200494_58361,1
200494_186266,1
200495_49793,0
200495_68839,1
200495_140802,1
200495_203414,1
200495_239284,1
200495_11667,0
200497_189128,0
200497_41473,0
200497_271384,0
200497_51867,0
200497_231141,0
200497_12106,0
200499_34231,1
200499_42334,0
200499_279161,1
200499_183277,0
200499_65494,1
200499_177415,1
200500_262534,0
200500_23824,0
200500_63433,0
200500_164591,1
200500_298,1
200500_237718,0
200504_201235,0
200504_277883,0
